0,0,0,0.2552
0.0005,0.0409,3.5371,0.253
0.0011,0.073,3.8028,0.2492
0.0023,0.1183,4.2948,0.2427
0.0039,0.1629,4.7137,0.2329
0.006,0.2093,4.498,0.2199
0.0086,0.2556,4.5309,0.203
0.0116,0.3004,4.6319,0.1834
0.0151,0.347,4.5882,0.1605
0.0189,0.3911,4.5228,0.1344
0.0233,0.4377,4.6121,0.1049
0.028,0.4817,4.4967,0.072
0.0333,0.5283,4.6243,0.0359
0.0391,0.5733,4.4872,-0.0042
0.0453,0.619,4.5529,-0.0476
0.052,0.6644,4.5478,-0.0945
0.059,0.7098,4.5424,-0.1447
0.0665,0.7549,4.5368,-0.1984
0.0745,0.7999,4.5309,-0.2556
0.083,0.8459,4.5539,-0.3168
0.092,0.8906,4.4504,-0.3821
0.1012,0.9347,4.4781,-0.4504
0.1111,0.9818,4.6474,-0.5228
0.1213,1.0248,4.3163,-0.5994
0.1319,1.07,4.564,-0.6791
0.1431,1.1153,4.5226,-0.7631
0.1547,1.1592,4.3988,-0.8514
0.1668,1.2045,4.5078,-0.9441
0.1793,1.2484,4.3795,-1.0411
0.1922,1.2926,4.4421,-1.1421
0.2056,1.3375,4.4797,-1.2475
0.2194,1.3809,4.3432,-1.3575
0.2337,1.4256,4.4577,-1.4722
0.2483,1.4686,4.3163,-1.5915
0.2635,1.513,4.4328,-1.7156
0.279,1.5557,4.2862,-1.8445
0.2949,1.5997,4.4048,-1.9783
0.3114,1.6429,4.3117,-2.1177
0.3283,1.686,4.2955,-2.2628
0.3456,1.7281,4.2173,-2.413
0.3632,1.7714,4.3385,-2.5684
0.3814,1.8138,4.2396,-2.7297
0.3999,1.856,4.2192,-2.8971
0.4189,1.898,4.1977,-3.0706
0.4383,1.9397,4.1749,-3.2503
0.4581,1.9812,4.151,-3.4364
0.4784,2.0233,4.1934,-3.6296
0.499,2.0626,3.9466,-3.8294
0.52,2.1049,4.2256,-4.036
0.5415,2.1444,3.9578,-4.2501
0.5634,2.1854,4.0839,-4.4718
0.5856,2.2243,3.8935,-4.7014
0.6082,2.2645,4.0199,-4.9389
0.6313,2.3036,3.8984,-5.1853
0.6547,2.3414,3.784,-5.44
0.6785,2.3805,3.9109,-5.7032
0.7027,2.4183,3.7811,-5.9758
0.7272,2.4557,3.7381,-6.258
0.7522,2.4926,3.6929,-6.5501
0.7774,2.5289,3.6454,-6.8521
0.8031,2.5658,3.6799,-7.1652
0.8291,2.6003,3.4494,-7.4895
0.8555,2.6361,3.5754,-7.8253
0.8821,2.6693,3.3348,-8.1729
0.9091,2.7039,3.4605,-8.5326
0.9366,2.738,3.391,-8.9061
0.9643,2.7684,3.0434,-9.2931
0.9923,2.801,3.2661,-9.693
1.0206,2.8329,3.189,-10.1079
1.0493,2.8621,2.9162,-10.5379
1.0781,2.8914,2.9401,-10.9828
1.1074,2.9221,3.058,-11.4444
1.1368,2.9477,2.5613,-11.9232
1.1665,2.9755,2.7889,-12.4188
1.1966,3.0025,2.6947,-12.9332
1.2269,3.0264,2.386,-13.467
1.2573,3.0503,2.3989,-14.0196
1.2881,3.0755,2.5182,-14.5933
1.319,3.0952,1.9684,-15.1885
1.3503,3.1184,2.3189,-15.8057
1.3816,3.1359,1.7522,-16.4453
1.4132,3.1582,2.2298,-17.1088
1.4448,3.1654,0.7149,-17.7965
1.4759,3.1119,-5.355,-18.5004
1.5065,3.055,-5.6865,-19.2146
1.5365,2.9974,-5.7651,-19.9372
1.566,2.9468,-5.0489,-20.6678
1.5949,2.893,-5.3824,-21.4062
1.6234,2.8464,-4.6533,-22.1521
1.6513,2.7966,-4.9944,-22.9052
1.6788,2.7541,-4.252,-23.6652
1.706,2.7108,-4.3161,-24.4336
1.7326,2.6669,-4.3983,-25.2083
1.7589,2.6305,-3.6382,-25.9886
1.7849,2.5935,-3.7036,-26.7764
1.8104,2.5571,-3.6388,-27.5701
1.8357,2.5257,-3.1457,-28.3692
1.8607,2.4949,-3.0709,-29.1744
1.8853,2.465,-2.9999,-29.9841
1.9097,2.4414,-2.3512,-30.7989
1.9338,2.4144,-2.701,-31.6181
1.9578,2.3954,-1.9038,-32.4412
1.9816,2.3743,-2.1039,-33.2688
2.0051,2.357,-1.7309,-34.099
2.0286,2.3435,-1.3525,-34.9325
2.0519,2.3295,-1.4001,-35.7684
2.075,2.3194,-1.0156,-36.6051
2.0982,2.3145,-0.4858,-37.444
2.1212,2.3065,-0.8026,-38.2844
2.1443,2.3066,0.0163,-39.1256
2.1673,2.3038,-0.2853,-39.9667
2.1904,2.3092,0.5378,-40.807
2.2136,2.3145,0.5269,-41.6478
2.2368,2.3198,0.5327,-42.4863
2.2601,2.3347,1.4937,-43.3225
2.2836,2.3471,1.2387,-44.1576
2.3072,2.3625,1.5424,-44.9888
2.3311,2.3849,2.2394,-45.8162
2.3552,2.4078,2.2858,-46.6408
2.3795,2.4327,2.4877,-47.4606
2.4041,2.4634,3.076,-48.2748
2.4291,2.4964,3.2958,-49.0832
2.4544,2.5341,3.7744,-49.8857
2.4802,2.5744,4.0284,-50.6823
2.5063,2.6176,4.3157,-51.4709
2.533,2.6683,5.069,-52.2512
2.5603,2.721,5.2733,-53.024
2.588,2.7774,5.6411,-53.787
2.6164,2.8412,6.3875,-54.5399
2.6455,2.9054,6.4026,-55.283
2.6751,2.9693,6.408,-56.0134
2.7055,3.0391,6.979,-56.7299
2.7366,3.1079,6.8707,-57.432
2.7684,3.1793,7.1459,-58.1178
2.801,3.2525,7.3168,-58.7859
2.8343,3.3274,7.4821,-59.4353
